Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-February-2026,2678.00,2688.20,2627.00,2636.40,2650.054611606853954398,139073,11196,368551045.00,72402,52.06,61.20,-41.60
26-February-2026,2636.20,2670.00,2634.80,2647.70,2651.099859843889359769,180513,25439,478557989.00,82614,45.77,35.20,11.50
25-February-2026,2580.55,2653.45,2580.55,2629.50,2632.554613696479958143,275224,26142,724542211.00,128893,46.83,72.90,48.95
24-February-2026,2640.00,2648.70,2561.95,2574.50,2591.166531713900134952,403845,29163,1046429648.00,277152,68.63,86.75,-65.50
23-February-2026,2686.65,2704.45,2660.45,2675.85,2677.955704582908637130,209954,18874,562247512.00,116292,55.39,44.00,-10.80
20-February-2026,2676.95,2702.85,2648.45,2686.65,2684.080133500393626575,180374,13118,484138270.00,89054,49.37,54.40,9.70
19-February-2026,2716.25,2748.00,2668.00,2680.45,2706.301442095992954645,181680,20392,491680846.00,56116,30.89,80.00,-35.80
18-February-2026,2735.75,2735.75,2658.00,2694.60,2687.164824785113818834,211740,25687,568980280.00,107852,50.94,77.75,-41.15
17-February-2026,2715.00,2759.30,2695.05,2717.45,2736.633202248827521920,343290,20437,939458812.00,141022,41.08,64.25,2.45
16-February-2026,2700.00,2720.00,2671.50,2708.20,2690.860417885787064128,377663,13097,1016238418.00,240718,63.74,48.50,8.20
13-February-2026,2579.00,2712.40,2579.00,2692.15,2646.385137721289606870,796863,56668,2108806400.00,372651,46.76,133.40,113.15
12-February-2026,2883.55,2883.55,2740.15,2751.90,2781.932106341755270816,715354,54483,1990066260.00,377778,52.81,143.40,-131.65
11-February-2026,2984.65,2998.00,2905.00,2909.40,2943.647311568887282656,149418,15949,439833894.00,93281,62.43,93.00,-75.25
10-February-2026,2950.00,3011.00,2943.55,2984.25,2978.860035487569742042,468333,9320,1395098457.00,400021,85.41,67.45,34.25
9-February-2026,2979.95,2979.95,2935.00,2947.10,2950.863976705490848585,64908,6803,191534679.00,36014,55.48,44.95,-32.85
6-February-2026,2992.00,2992.00,2915.15,2941.45,2931.503403478081909857,388720,26462,1139534003.00,259026,66.64,76.85,-50.55
5-February-2026,2998.95,3029.50,2970.35,2992.05,2996.875021610282107718,387547,42367,1161429924.00,158432,40.88,59.15,-6.90
4-February-2026,3122.00,3122.00,2986.85,2999.80,3019.097025367011977683,962707,46113,2906505840.00,804058,83.52,135.15,-122.20
3-February-2026,3320.90,3336.70,3185.55,3223.70,3228.309875598628467794,176445,11915,569619136.00,112925,64.00,151.15,-97.20
2-February-2026,3188.05,3198.80,3133.55,3169.30,3165.169241040612870738,88371,7132,279709171.00,60254,68.18,65.25,-18.75
1-February-2026,3110.65,3234.90,3103.85,3185.15,3175.313071603836716484,295878,24749,939505281.00,177528,60.00,131.05,74.50
30-January-2026,3146.00,3146.00,3092.30,3125.05,3119.043164959378311550,70775,8079,220750280.00,37737,53.32,53.70,-20.95
29-January-2026,3199.85,3200.00,3126.55,3146.10,3143.609045810561850948,194322,31127,610872397.00,106555,54.83,73.45,-53.75
28-January-2026,3160.10,3205.00,3160.10,3199.85,3190.255214988056219098,144008,21477,459422273.00,73632,51.13,44.90,39.75
27-January-2026,3161.20,3176.50,3131.00,3158.40,3144.485310291606662170,164571,6522,517491092.00,120481,73.21,45.50,-2.80
